Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
211479192,Water Moon,Samantha Sotto Yambao,"Yambao, Samantha Sotto",,"=""0593724992""","=""9780593724996""",0,3.79,Del Rey,Hardcover,384,2025,2025,,2025/05/24,to-read,to-read (#21),to-read,,,,0,0
403846,"Caliban and the Witch: Women, the Body and Primitive Accumulation",Silvia Federici,"Federici, Silvia",,"=""1570270597""","=""9781570270598""",0,4.56,Autonomedia,Paperback,288,2004,2004,,2025/05/13,"currently-reading, history, non-fiction","currently-reading (#3), history (#11), non-fiction (#208)",currently-reading,,,,1,0
30419583,حكواتي الليل,Rafik Schami,"Schami, Rafik",رنا زحكا,"=""""","=""""",0,4.05,منشورات الجمل,Paperback,256,2011,1989,,2025/05/02,"currently-reading, fiction, عربي, fantasy","currently-reading (#2), fiction (#148), عربي (#2), fantasy (#17)",currently-reading,,,,1,0
43598479,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",3,3.68,Granta Books,Paperback,163,2019,2016,2020/01/01,2019/12/26,"japan, fiction, 日本語","japan (#16), fiction (#59), 日本語 (#14)",read,,,,2,0
1739105,Der ehrliche Lügner,Rafik Schami,"Schami, Rafik",,"=""3407787545""","=""9783407787545""",0,4.14,Beltz und Gelberg,Paperback,574,2000,1995,,2025/04/23,to-read,to-read (#20),to-read,,,,0,0
6441444,Damaskus im Herzen,Rafik Schami,"Schami, Rafik",,"=""3423137967""","=""9783423137966""",0,4.02,Deutscher Taschenbuch Verlag,Paperback,253,2009,2006,,2025/04/23,to-read,to-read (#19),to-read,,,,0,0
141318112,"Wenn du erzählst, erblüht die Wüste",Rafik Schami,"Schami, Rafik",,"=""3446278540""","=""9783446278547""",0,3.87,Carl Hanser Verlag GmbH & Co. KG,Kindle Edition,481,2023,2023,,2025/04/23,to-read,to-read (#18),to-read,,,,0,0
1882347,Reise zwischen Nacht und Morgen,Rafik Schami,"Schami, Rafik",,"=""3423620838""","=""9783423620833""",0,4.07,Deutscher Taschenbuch Verlag,Paperback,370,2002,1995,,2025/04/23,to-read,to-read (#17),to-read,,,,0,0
9757855,Das Geheimnis des Kalligraphen,Rafik Schami,"Schami, Rafik",,"=""3423139188""","=""9783423139182""",0,3.79,dtv,Paperback,560,2010,2004,,2025/04/23,to-read,to-read (#16),to-read,,,,0,0
2548111,Die dunkle Seite der Liebe,Rafik Schami,"Schami, Rafik",,"=""3423135204""","=""9783423135207""",0,4.10,Deutscher Taschenbuch Verlag,Paperback,1033,2006,2004,,2025/04/23,to-read,to-read (#15),to-read,,,,0,0
1092572,A Hand Full of Stars,Rafik Schami,"Schami, Rafik","Rika Lesser, رفيق شامي","=""0140360735""","=""9780140360738""",0,4.00,Puffin Books,Mass Market Paperback,208,1992,1985,,2025/04/23,to-read,to-read (#14),to-read,,,,0,0
815790,City of Darkness: Life in Kowloon Walled City,Ian Lambot,"Lambot, Ian",Greg Girard,"=""1873200137""","=""9781873200131""",0,4.61,Watermark,Paperback,216,1999,1993,,2025/04/21,to-read,to-read (#13),to-read,,,,0,0
219424915,愛しさに気づかぬうちに [第６巻],Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",川口 俊和,"=""476314104X""","=""9784763141040""",0,3.54,サンマーク出版,Paperback,336,2024,2024,,2025/04/20,"currently-reading, fiction, japan, 日本語","currently-reading (#1), fiction (#147), japan (#76), 日本語 (#15)",currently-reading,,,,1,0
6054171,Forbidden Colours (Modern Classics),Yukio Mishima,"Mishima, Yukio",,"=""0141189568""","=""9780141189567""",0,3.92,Penguin,Paperback,429,2008,1951,,2025/03/23,"classic, dropped, fiction, japan","classic (#28), dropped (#5), fiction (#146), japan (#75)",dropped,,,,1,0
7758720,MAMA,紅玉いづき,"紅玉いづき, 紅玉いづき",カラス,"=""4840241597""","=""9784840241595""",0,3.50,MediaWorks,Paperback,296,2008,2008,,2025/03/02,"dropped, fantasy, fiction, japan, 日本語","dropped (#4), fantasy (#16), fiction (#145), japan (#74), 日本語 (#13)",dropped,,,,1,0
217721558,How to Leave the World,Marouane Bakhti,"Bakhti, Marouane",Lara Vergnaud,"=""1739516133""","=""9781739516130""",0,4.04,Divided Publishing,Paperback,150,2024,,,2025/03/29,to-read,to-read (#12),to-read,,,,0,0
212343634,Technofeudalism: What Killed Capitalism,Yanis Varoufakis,"Varoufakis, Yanis",,"=""1529926092""","=""9781529926095""",4,4.03,Vintage,Paperback,304,2024,2023,2025/03/26,2025/03/11,"economics, non-fiction","economics (#6), non-fiction (#207)",read,,,,1,0
49098225,Another Now: Dispatches from an Alternative Present,Yanis Varoufakis,"Varoufakis, Yanis",,"=""1847925634""","=""9781847925633""",0,3.81,Bodley Head,Hardcover,235,2020,2020,,2025/03/26,to-read,to-read (#11),to-read,,,,0,0
58582927,Time Is a Mother,Ocean Vuong,"Vuong, Ocean",,"=""0593300238""","=""9780593300237""",0,3.93,Penguin Press,Hardcover,114,2022,2022,,2025/03/15,to-read,to-read (#10),to-read,,,,0,0
24060838,毒吐姫と星の石 [Dokuhakihime to Hoshi no Ishi],Izuki Kōgyoku,"Kōgyoku, Izuki","紅玉いづき, 磯野 宏夫","=""4048700588""","=""9784048700580""",2,3.67,ASCII Media Works,Paperback,258,2010,2010,2025/03/02,2025/01/23,"japan, fiction, fantasy, 日本語","japan (#72), fiction (#144), fantasy (#15), 日本語 (#12)",read,,,,1,0
177058906,"Fluke: Chance, Chaos, and Why Everything We Do Matters",Brian Klaas,"Klaas, Brian",,"=""""","=""""",0,4.08,Scribner,Kindle Edition,335,2024,2024,,2025/02/22,to-read,to-read (#9),to-read,,,,0,0
788431,Making Sense of Japanese: What the Textbooks Don't Tell You,Jay Rubin,"Rubin, Jay",,"=""4770028024""","=""9784770028020""",3,4.17,Kodansha,Paperback,144,2002,1992,,2025/01/15,"japan, language, non-fiction, to-reread","japan (#73), language (#3), non-fiction (#206), to-reread (#14)",read,"A short book about some differences between grammatical constructs. It was fun and had some interesting advanced topics, but would’ve been easier to follow if kana was used instead of romaji.",,,2,0
11296,Haruki Murakami and the Music of Words,Jay Rubin,"Rubin, Jay",,"=""0099455447""","=""9780099455448""",5,3.86,Vintage UK,Paperback,462,2005,2002,2025/01/19,2024/07/29,"creativity, non-fiction, writing","creativity (#15), non-fiction (#198), writing (#1)",read,"A literary analysis of Murakami's works from the beginning until his biggest work 1Q84. Murakami is a very interesting figure who was always navigating between the east and the west and Jay Rubin adds insights to many of his works and the circumstances surrounding them, but also to how translating japanese is and the different nuances it has. ",,,1,0
7758721,ミミズクと夜の王 [Mimizuku to Yoru no Ou],Izuki Kōgyoku,"Kōgyoku, Izuki","紅玉いづき, 磯野 宏夫","=""4048667769""","=""9784048667760""",4,3.86,KADOKAWA,Paperback,274,2007,2007,2025/01/21,2025/01/21,"fantasy, fiction, japan, 日本語","fantasy (#14), fiction (#143), japan (#71), 日本語 (#11)",read,"Mimizuku and The King of the Night, a story about a girl in chains going into a forest to offer herself as a sacrifice to King of The Night, who doesn't want to kill her. A simple yet beautifully written story.",,,1,0
